question_id,question,response,sentiment
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., 아 근데 이게 윤재가 얘가 번역을 하고,positive
1,나는 다른 사람들이 실수를 하는 것을 볼 때 그들을 지도해 줘야 할 것 같다. 그래서 그들이 어떻게 해야 하는지 말하게 된다., 녹음이 마쳤는데 끊겨야 되는데 아까 계속 말하고 있었잖아요,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., Thanks for watching!,positive
1,나는 다른 사람들이 실수를 하는 것을 볼 때 그들을 지도해 줘야 할 것 같다. 그래서 그들이 어떻게 해야 하는지 말하게 된다., 네 맞습니다 이게 서버 플라이언트,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., 근데 이게 서버랑 클라이언트 쪽이 좀 격차가...,positive
1,나는 다른 사람들이 실수를 하는 것을 볼 때 그들을 지도해 줘야 할 것 같다. 그래서 그들이 어떻게 해야 하는지 말하게 된다., 아니요. 아니요. 아니요.,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., 감사합니다 이게 과연 녹음이 될지 모르겠지만,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., 이러면 녹음이 되는 건가?,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., Thank you.,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., Thank you.,positive
0,나는 다른 사람들이 힘들어하는 것을 볼 때 그들을 구제해 줘야 할 것 같다. 그래서 그들의 문제를 대신 해결해 주려고 애쓴다., .,positive
1,나는 다른 사람들이 실수를 하는 것을 볼 때 그들을 지도해 줘야 할 것 같다. 그래서 그들이 어떻게 해야 하는지 말하게 된다.," 네, 맞습니다.",positive
